RUR: sleep
RUS: slide
RUT: slightly
RUV: slip
RUZ: slow
SAB: slowly
SAD: small
SAF: smell
SAG: smile
SAH: smoke
SAJ: snap
SAK: snow
SAL: so
SAM: soft
SAN: softly
SAP: soldier
SAR: somebody
SAS: somehow
SAT: someone
SAV: something
SAZ: sometimes
SIB: somewhere
SID: son
SIF: song
SIG: soon
SIH: sorry
SIJ: sort
SIK: soul
SIL: sound
SIM: south
SIN: space
SIP: speak
SIR: special
SIS: spend
SIT: spin
SIV: spirit
SIZ: spot
SOB: spread
SOD: spring
SOF: stage
SOG: stair
SOH: stand
SOJ: star
SOK: stare
SOL: start
SOM: state
SON: station
SOP: stay
SOR: steal
SOS: step
SOT: stick
SOV: still
SOZ: stomach
SUB: stone
SUD: stop
SUF: store
SUG: storm
SUH: story
SUJ: straight
SUK: strange
SUL: street
SUM: stretch
SUN: strike
SUP: strong
SUR: student
SUS: study
SUT: stuff
SUV: stupid
SUZ: such
TAB: suddenly
TAD: suggest
TAF: suit
TAG: summer
TAH: sun
TAJ: suppose
TAK: sure
TAL: surface
TAM: surprise
TAN: sweet
TAP: swing
TAR: system
TAS: table
TAT: take
TAV: talk
TAZ: tall
TIB: tea
TID: teach
TIF: teacher
TIG: team
TIH: tear
TIJ: television
TIK: tell
TIL: ten
TIM: terrible
TIN: than
TIP: thank
TIR: that
TIS: the
TIT: their
TIV: them
TIZ: themselves
TOB: then
TOD: there
TOF: these
TOG: thick
TOH: thin
TOJ: thing
TOK: think
TOL: third
TOM: thirty
TON: this
TOP: those
TOR: though
TOS: three
TOT: throat
TOV: through
TOZ: throw
TUB: tie
TUD: time
TUF: tiny
TUG: tire
TUH: to
TUJ: today
TUK: together
TUL: tomorrow
TUM: tone
TUN: tongue
TUP: tonight
TUR: too
TUS: tooth
TUT: top
TUV: toss
TUZ: touch
VAB: toward
VAD: town
VAF: track
VAG: train
VAH: travel
VAJ: tree
VAK: trip
VAL: trouble
VAM: truck
VAN: true
VAP: trust
VAR: truth
VAS: try
VAT: turn
VAV: twenty
VAZ: twice
VIB: two
VID: uncle
VIF: under
VIG: understand
VIH: unless
VIJ: until
VIK: up
VIL: upon
VIM: use
VIN: usual
VIP: usually
VIR: very
VIS: view
VIT: village
VIV: visit
VIZ: voice
VOB: wait
VOD: wake
VOF: walk
VOG: wall
VOH: want
VOJ: war
VOK: warm
VOL: wash
VOM: watch
VON: water
VOP: wave
VOR: way
VOS: we
VOT: wear
VOV: wedding
VOZ: week
VUB: weight
VUD: well
VUF: west
VUG: wet
VUH: what
VUJ: whatever
VUK: wheel
VUL: when
VUM: where
VUN: whether
VUP: which
VUR: while
VUS: whisper
VUT: white
VUV: who
VUZ: whole
ZAB: whom
